Top,Restaurant,Longitude,Latitude,Price_RgLv,Category
49,Cenacolo Puerto Cancún,21.161589,-86.808235,Medium,"Italiana, Europea, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
50,Cambalache Cancun,21.110044,-86.76346,High,"Churrasquería, Argentina, Sudamericana, Internacional, Parrilla, Apto para vegetarianos, Opciones sin gluten"
51,Gory Tacos,21.161606,-86.82672,low,"Mexicana, Latina, Apto para vegetarianos, Opciones veganas"
52,Bugambilias,20.988594,-86.828,Medium,"Mexicana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
53,Arrecifes - Nizuc Brazilian Restaurant/Moon Palace,20.982067,-86.82913,High,"Churrasquería, Brasilera, Opciones sin gluten"
54,Gustino,21.088402,-86.77106,High,"Italiana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
55,Marinero's,21.134483,-86.748055,Medium,"Bar, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
56,RESTAURANTE NAVIOS,21.045237,-86.783775,Medium,"Mexicana, Caribeña, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
57,Secrets The Vine Cancun,21.090172,-86.76908,High,"Bar, Mariscos, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
58,Nebbiolo Ristorante,21.090672,-86.76998,High,"Italiana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
59,Vegan Planet,21.150156,-86.84839,Medium,"Mexicana, Internacional, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
60,Da Vinci,21.074715,-86.7751,High,"Europea, Italiana, Apto para vegetarianos"
61,Pizzeria La Pizzarra,21.114342,-86.769646,Medium,"Italiana, Bar, Pizzería, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
62,La Habichuela Centro,21.162086,-86.82801,High,"Mexicana, Caribeña, Mariscos, Internacional, Apto para vegetarianos, Opciones sin gluten"
63,El Conquistador,21.07031,-86.77676,High,"Internacional, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
64,Restaurante Italian Dos Lunas,21.076832,-86.774605,Medium,"Italiana, Apto para vegetarianos"
65,Outback Steakhouse,21.118196,-86.75745,Medium,"Estadounidense, Bar, Apto para vegetarianos"
66,Naos Restaurant,21.083681,-86.771645,Medium,"Mexicana, Estadounidense, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
67,The Surfin Burrito,21.13001,-86.74981,low,"Mexicana, Caribeña, Latina, Comida rápida, Centroamericana, Apto para vegetarianos, Opciones veganas"
68,La Fonda Del Zancudo,21.16367,-86.822365,Medium,"Apto para vegetarianos, Opciones veganas"
69,Restaurant Mole,21.083324,-86.771736,Medium,"Mexicana, Latina, Apto para vegetarianos, Opciones sin gluten"
70,Outback Sports Bar,21.1181,-86.757385,Medium,"Estadounidense, Bar"
71,Maria Marie Restaurant,21.118654,-86.756775,High,"Francesa, Mexicana, Apto para vegetarianos"
72,Hidden Garden,21.107157,-86.762474,High,"Asiática, Tailandesa, Opciones veganas"
73,Mar-Bella Rawbar & Grill,21.19105,-86.806694,Medium,"Mexicana, Caribeña, Mariscos, Opciones sin gluten"
74,Restaurante Fuego,21.08361,-86.77169,High,"Peruana, Apto para vegetarianos, Opciones sin gluten"
75,Pelicanos,21.118887,-86.755745,Medium,"Caribeña, Mariscos, Apto para vegetarianos, Opciones veganas"
76,Elefanta Indian Cuisine,21.10868,-86.76429,Medium,"De la India, Asiática,Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
77,El Oasis Mariscos,21.148228,-86.83416,Medium,"Caribeña, Latina, Mariscos, Mexicana, Internacional"
78,Ciao,21.089172,-86.7697,High,"Italiana, Apto para vegetarianos"
79,Blue Gecko Cantina,21.077969,-86.77725,low,"Mexicana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
80,Pizzeria Luna Rossa,21.149866,-86.8221,Medium,"Italiana, Pizzería, Europea, Apto para vegetarianos"
81,La Capilla,21.086714,-86.77194,Medium,"Estadounidense, Churrasquería, Argentina, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
82,Le Fate Ristorante Italiano,21.149553,-86.84586,Medium,"Italiana, Pizzería, Mediterránea, Apto para vegetarianos, Opciones veganas"
83,Taco y Tequila Cancún,21.110514,-86.76492,Medium,"Mexicana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
84,La Gondola - Sunrise,20.988247,-86.827995,High,"Italiana, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
85,Thai,21.108864,-86.76435,High,"Tailandesa, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
86,El Pescado Ciego,21.162558,-86.82389,Medium,"Mariscos, Opciones sin gluten"
87,Fred's House,21.088469,-86.773026,High,"Caribeña, Mariscos, Internacional, Apto para vegetarianos, Opciones veganas, Opciones sin gluten"
